election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bharatiya Janata Party,BJP,BISHNU PADA RAY,102182,254,102436,1,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Indian National Congress,INC,KULDEEP RAI SHARMA,77829,211,78040,2,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Andaman Nicobar Democratic Congress,Other-236,MANOJ PAUL,8236,18,8254,3,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Communist Party of India (Marxist),CPI-M,D AYYAPPAN,6009,8,6017,4,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,Ind,V.K. ABDUL AZIZ,2195,8,2203,5,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,All India Anna Dravida Munnetra Kazhagam,AIADMK,K J B SELVARAJ,911,3,914,7,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bahujan Samaj Party,BSP,DR ARUN KUMAR MALLIK,714,5,719,8,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,Ind,RINKU MALA MONDAL,539,3,542,9,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,Ind,K VENKAT RAM BABU,506,1,507,10,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,Ind,USHA KUMARI,378,2,380,11,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,SALAMAT MONDAL,349,2,351,12,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,Ind,ANAND RAMNATH ARLEKAR,342,-,342,13,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,None of the Above,NOTA,NOTA,1802,7,1809,6,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Yuvajana Sramika Rythu Congress Party,YSRCP,GUMMA THANUJA RANI,471470,5535,477005,1,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharatiya Janata Party,BJP,KOTHAPALLI GEETHA,417113,9312,426425,2,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Communist Party of India (Marxist),CPI-M,APPALANARASA PACHIPENTA,119016,4113,123129,3,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bahujan Samaj Party,BSP,AVASHYA LAHARI . VARAM,24858,892,25750,5,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,Ind,SAMAREDDY BALAKRISHNA,9493,42,9535,6,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,Ind,NIMMAKA JAYARAJU,8798,664,9462,7,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,Ind,ATHIDHI,8121,15,8136,8,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Jai Bharat National Party,Other-119,CHANTI BADNAINA,7205,47,7252,9,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharat Adivasi Party,Other-15,MOTTADAM . RAJABABU,6370,396,6766,10,
